iter	Passed	Remaining
0	1	120
1	2	110
2	3	102
3	4	97
4	5	97
5	6	96
6	7	96
7	8	101
8	9	96
9	10	93
10	11	90
11	12	88
12	12	86
13	13	85
14	14	84
15	15	83
16	17	83
17	18	82
18	19	81
19	20	80
20	21	80
21	22	78
22	23	78
23	24	77
24	25	75
25	26	74
26	27	73
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	37	64
37	39	63
38	39	62
39	40	61
40	42	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	53	48
52	54	48
53	55	47
54	56	45
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	68	35
66	68	33
67	70	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	95	5
95	96	4
96	98	3
97	99	2
98	100	1
99	101	0
